msi,blk,Feature,SCL,REF,diff
Medio,L,VMS,0.0000,0.0000,0.0000
Medio,L,VT,0.0344,0.0364,-0.0020
Medio,L,VS,0.0595,0.0549,0.0046
Medio,L,VDR,0.1082,0.1180,-0.0098
Medio,L,ST,0.7667,0.7500,0.0167
Medio,L,7C,0.2333,0.1833,0.0500
Medio,L,NSC,0.0000,0.0667,-0.0667
Medio,L,CC,0.0000,0.0333,-0.0333
Medio,L,DTMCVI,2.0000,2.0000,0.0000
Medio,L,PRTMCVI,0.8968,0.8611,0.0357
Medio,L,VNSPC,0.3634,0.3415,0.0219
Medio,H,VMS,0.0138,0.0000,0.0138
Medio,H,VT,0.0183,0.0424,-0.0240
Medio,H,VS,0.0043,0.1240,-0.1197
Medio,H,VDR,0.2360,0.3140,-0.0780
Medio,H,ST,0.2322,0.4375,-0.2054
Medio,H,7C,0.3214,0.1667,0.1548
Medio,H,NSC,0.4464,0.3958,0.0506
Medio,H,CC,0.2143,0.2500,-0.0357
Medio,H,DTMCVI,3.3333,2.5000,0.8333
Medio,H,PRTMCVI,0.9185,0.8578,0.0607
Medio,H,VNSPC,0.4898,0.2913,0.1984
Alto,L,VMS,0.0000,0.0000,0.0000
Alto,L,VT,0.0344,0.0364,-0.0020
Alto,L,VS,0.0595,0.0549,0.0046
Alto,L,VDR,0.1082,0.1180,-0.0098
Alto,L,ST,0.7667,0.7500,0.0167
Alto,L,7C,0.2333,0.1833,0.0500
Alto,L,NSC,0.0000,0.0667,-0.0667
Alto,L,CC,0.0000,0.0333,-0.0333
Alto,L,DTMCVI,2.0000,2.0000,0.0000
Alto,L,PRTMCVI,0.8968,0.8611,0.0357
Alto,L,VNSPC,0.3634,0.3415,0.0219
Alto,H,VMS,0.0138,0.0000,0.0138
Alto,H,VT,0.0183,0.0424,-0.0240
Alto,H,VS,0.0043,0.1240,-0.1197
Alto,H,VDR,0.2360,0.3140,-0.0780
Alto,H,ST,0.2322,0.4375,-0.2054
Alto,H,7C,0.3214,0.1667,0.1548
Alto,H,NSC,0.4464,0.3958,0.0506
Alto,H,CC,0.2143,0.2500,-0.0357
Alto,H,DTMCVI,3.3333,2.5000,0.8333
Alto,H,PRTMCVI,0.9185,0.8578,0.0607
Alto,H,VNSPC,0.4898,0.2913,0.1984
